content,source,cleaned,t,sentiment_score,sentiment,tokens,joined,topik
"Mhon di balas@admin,sya kirim email tdk direspon,dan saya coba telpon jga tdk bisa.. tlong di balas admin @ditjenpajakri",instagram,mhon di balasadminsya kirim email tdk direspondan saya coba telpon jga tdk bisa tlong di balas admin ditjenpajakri,"['mhon', 'di', 'balasadminsya', 'kirim', 'email', 'tidak', 'direspondan', 'saya', 'coba', 'telpon', 'juga', 'tidak', 'bisa', 'tlong', 'di', 'balas', 'admin', 'ditjenpajakri']",-32,negative,"['mhon', 'balasadminsya', 'kirim', 'email', 'tdk', 'direspondan', 'coba', 'telpon', 'jga', 'tdk', 'tlong', 'balas', 'admin', 'ditjenpajakri']",mhon balasadminsya kirim email tdk direspondan coba telpon jga tdk tlong balas admin ditjenpajakri,Topik 4 - OTP/Verifikasi Email
"Permisi min, sampai kapan sistem validasi OTPnya bisa kembali baik? Soalnya sudah benar kodenya tapi gagal validasi terus, mana jadi syarat buat dokumen administrasi kerja lagi.",instagram,permisi min sampai kapan sistem validasi otpnya bisa kembali baik soalnya sudah benar kodenya tapi gagal validasi terus mana jadi syarat buat dokumen administrasi kerja lagi,"['permisi', 'min', 'sampai', 'kapan', 'sistem', 'validasi', 'otpnya', 'bisa', 'kembali', 'baik', 'soalnya', 'sudah', 'benar', 'kodenya', 'tapi', 'gagal', 'validasi', 'terus', 'mana', 'jadi', 'syarat', 'buat', 'dokumen', 'administrasi', 'kerja', 'lagi']",-66,negative,"['permisi', 'min', 'sistem', 'validasi', 'otpnya', 'kodenya', 'gagal', 'validasi', 'syarat', 'dokumen', 'administrasi', 'kerja']",permisi min sistem validasi otpnya kodenya gagal validasi syarat dokumen administrasi kerja,Topik 4 - OTP/Verifikasi Email
"Berarti kalau dari <p3.447@pajak@.go.id> itu original ya? Saya pic dari salah satu CV, dikirimkan Surat Tagihan Pajak setelah saya ikuti metode diatas, emailnya bukan acak

Bagaimana pak bu @ditjenpajakri ?",instagram,"berarti kalau dari ppajakgoid itu original ya saya pic dari salah satu cv dikirimkan surat tagihan pajak setelah saya ikuti metode diatas emailnya bukan acak

bagaimana pak bu ditjenpajakri","['berarti', 'kalau', 'dari', 'p3447pajakgoid', 'itu', 'original', 'ya', 'saya', 'pic', 'dari', 'salah', 'satu', 'cv', 'dikirimkan', 'surat', 'tagihan', 'pajak', 'setelah', 'saya', 'ikuti', 'metode', 'diatas', 'emailnya', 'bukan', 'acak', 'bagaimana', 'pak', 'bu', 'ditjenpajakri']",-50,negative,"['ppajakgoid', 'original', 'pic', 'salah', 'dikirimkan', 'surat', 'tagihan', 'pajak', 'ikuti', 'metode', 'diatas', 'emailnya', 'acak', 'ditjenpajakri']",ppajakgoid original pic salah dikirimkan surat tagihan pajak ikuti metode diatas emailnya acak ditjenpajakri,Topik 4 - OTP/Verifikasi Email
Tombol/opsi lupa email & nomor hp knp hilang min?,instagram,tombolopsi lupa email  nomor hp knp hilang min,"['tombolopsi', 'lupa', 'email', 'nomor', 'hp', 'kenapa', 'hilang', 'min']",-13,negative,"['tombolopsi', 'lupa', 'email', 'nomor', 'knp', 'hilang', 'min']",tombolopsi lupa email nomor knp hilang min,Topik 4 - OTP/Verifikasi Email
tombol lupa email dan no hp kok ilangggg?????,instagram,tombol lupa email dan no hp kok ilangggg,"['tombol', 'lupa', 'email', 'dan', 'no', 'hp', 'kok', 'ilangggg']",-9,negative,"['tombol', 'lupa', 'email', 'ilangggg']",tombol lupa email ilangggg,Topik 4 - OTP/Verifikasi Email
Tombol Lupa Email dan No HP tolong diperbaharui min,instagram,tombol lupa email dan no hp tolong diperbaharui min,"['tombol', 'lupa', 'email', 'dan', 'no', 'hp', 'tolong', 'diperbaharui', 'min']",-2,negative,"['tombol', 'lupa', 'email', 'tolong', 'diperbaharui', 'min']",tombol lupa email tolong diperbaharui min,Topik 4 - OTP/Verifikasi Email
"Saya ada baru2 yg hubungi mengirim link untk perbaharui alamat email, apa itu dr pajak atau penipuan ?",instagram,saya ada baru yg hubungi mengirim link untk perbaharui alamat email apa itu dr pajak atau penipuan,"['saya', 'ada', 'baru-baru', 'yang', 'hubungi', 'mengirim', 'link', 'untuk', 'perbaharui', 'alamat', 'email', 'apa', 'itu', 'dari', 'pajak', 'atau', 'penipuan']",-28,negative,"['hubungi', 'mengirim', 'link', 'untk', 'perbaharui', 'alamat', 'email', 'pajak', 'penipuan']",hubungi mengirim link untk perbaharui alamat email pajak penipuan,Topik 4 - OTP/Verifikasi Email
"admin, udah minta OTP sampe beberapa kali ngga dikirim²??!!!",instagram,admin udah minta otp sampe beberapa kali ngga dikirim,"['admin', 'sudah', 'meminta', 'otp', 'sampai', 'beberapa', 'kali', 'tidak', 'dikirim']",-19,negative,"['admin', 'udah', 'otp', 'sampe', 'kali', 'ngga', 'dikirim']",admin udah otp sampe kali ngga dikirim,Topik 4 - OTP/Verifikasi Email
@ditjenpajakri minta tolong penjelasan untuk kode 020 gimana vara buat pajak keluaran nya?@ditjenpajakri,instagram,ditjenpajakri minta tolong penjelasan untuk kode  gimana vara buat pajak keluaran nyaditjenpajakri,"['ditjenpajakri', 'meminta', 'tolong', 'penjelasan', 'untuk', 'kode', '020', 'bagaimana', 'vara', 'buat', 'pajak', 'keluaran', 'nyaditjenpajakri']",-6,negative,"['ditjenpajakri', 'tolong', 'penjelasan', 'kode', 'gimana', 'vara', 'pajak', 'keluaran', 'nyaditjenpajakri']",ditjenpajakri tolong penjelasan kode gimana vara pajak keluaran nyaditjenpajakri,Topik 4 - OTP/Verifikasi Email
BENERIN DONG VALIDASI OTP DOANG!!!,instagram,benerin dong validasi otp doang,"['benerin', 'dong', 'validasi', 'otp', 'doang']",-1,negative,"['benerin', 'validasi', 'otp', 'doang']",benerin validasi otp doang,Topik 4 - OTP/Verifikasi Email
Kring pajak 1500200 tgl 26 maret gk bisa nyambung. Mau nunggu kode verikasi lama nya ber jam jam. Pusing pantengin ginian,instagram,kring pajak  tgl  maret gk bisa nyambung mau nunggu kode verikasi lama nya ber jam jam pusing pantengin ginian,"['kring', 'pajak', '1500200', 'tanggal', '26', 'maret', 'tidak', 'bisa', 'menyambung', 'mau', 'menunggu', 'kode', 'verikasi', 'lama', 'ya', 'ber', 'jam', 'jam', 'pusing', 'pantengin', 'beginian']",-58,negative,"['kring', 'pajak', 'tgl', 'maret', 'nyambung', 'nunggu', 'kode', 'verikasi', 'nya', 'ber', 'jam', 'jam', 'pusing', 'pantengin', 'ginian']",kring pajak tgl maret nyambung nunggu kode verikasi nya ber jam jam pusing pantengin ginian,Topik 4 - OTP/Verifikasi Email
Tmn2 mau tny utk masa April penginputan FP keluaran ttep menggunakan kode 04 kan? Dan msih menggunakan 11/12 utk DPP nilai lain?,instagram,tmn mau tny utk masa april penginputan fp keluaran ttep menggunakan kode  kan dan msih menggunakan  utk dpp nilai lain,"['teman-teman', 'mau', 'tny', 'untuk', 'masa', 'april', 'penginputan', 'fp', 'keluaran', 'tetap', 'menggunakan', 'kode', '04', 'kan', 'dan', 'masih', 'menggunakan', '1112', 'untuk', 'dpp', 'nilai', 'lain']",-15,negative,"['tmn', 'tny', 'utk', 'april', 'penginputan', 'keluaran', 'ttep', 'kode', 'msih', 'utk', 'dpp', 'nilai']",tmn tny utk april penginputan keluaran ttep kode msih utk dpp nilai,Topik 4 - OTP/Verifikasi Email
OTP OTP OTP. Udah itu aja benerin dulu,instagram,otp otp otp udah itu aja benerin dulu,"['otp', 'otp', 'otp', 'sudah', 'itu', 'saja', 'benerin', 'dulu']",-14,negative,"['otp', 'otp', 'otp', 'udah', 'aja', 'benerin']",otp otp otp udah aja benerin,Topik 4 - OTP/Verifikasi Email
"Masa pajak Januari, pakai kode 040 atau 010 jadi? Perlu dipertegas dan diperjelas",instagram,masa pajak januari pakai kode  atau  jadi perlu dipertegas dan diperjelas,"['masa', 'pajak', 'januari', 'pakai', 'kode', '040', 'atau', '010', 'jadi', 'perlu', 'dipertegas', 'dan', 'diperjelas']",-12,negative,"['pajak', 'januari', 'pakai', 'kode', 'dipertegas', 'diperjelas']",pajak januari pakai kode dipertegas diperjelas,Topik 4 - OTP/Verifikasi Email
Apakah berlaku utk pembelian rumah second? Cara dpt Kode Indentitas Rumah? Tlg dijawab,instagram,apakah berlaku utk pembelian rumah second cara dpt kode indentitas rumah tlg dijawab,"['apakah', 'berlaku', 'untuk', 'pembelian', 'rumah', 'second', 'cara', 'dapat', 'kode', 'indentitas', 'rumah', 'tolong', 'dijawab']",-1,negative,"['berlaku', 'utk', 'pembelian', 'rumah', 'second', 'dpt', 'kode', 'indentitas', 'rumah', 'tlg']",berlaku utk pembelian rumah second dpt kode indentitas rumah tlg,Topik 4 - OTP/Verifikasi Email
adakah yg sampe skrg blm dapet email buat aktivasi?,instagram,adakah yg sampe skrg blm dapet email buat aktivasi,"['adakah', 'yang', 'sampai', 'sekarang', 'belum', 'dapat', 'email', 'buat', 'aktivasi']",-8,negative,"['adakah', 'sampe', 'skrg', 'blm', 'dapet', 'email', 'aktivasi']",adakah sampe skrg blm dapet email aktivasi,Topik 4 - OTP/Verifikasi Email
"Knp tidak menerima otp padahal pulsa ada, haduh pusing",instagram,knp tidak menerima otp padahal pulsa ada haduh pusing,"['kenapa', 'tidak', 'menerima', 'otp', 'padahal', 'pulsa', 'ada', 'aduh', 'pusing']",-28,negative,"['knp', 'menerima', 'otp', 'pulsa', 'haduh', 'pusing']",knp menerima otp pulsa haduh pusing,Topik 4 - OTP/Verifikasi Email
"Min, kalau posisi sbg Notaris/PPAT bisa buat kode billing mandiri untuk pihak lain sbg wajib pajak jual beli tanah dan bangunan melalui coretax? Sebelumnya kan di fasilitasi layanan ephtb notaris",instagram,min kalau posisi sbg notarisppat bisa buat kode billing mandiri untuk pihak lain sbg wajib pajak jual beli tanah dan bangunan melalui coretax sebelumnya kan di fasilitasi layanan ephtb notaris,"['min', 'kalau', 'posisi', 'sebagai', 'notarisppat', 'bisa', 'buat', 'kode', 'billing', 'mandiri', 'untuk', 'pihak', 'lain', 'sebagai', 'wajib', 'pajak', 'jual', 'beli', 'tanah', 'dan', 'bangunan', 'melalui', 'coretax', 'sebelumnya', 'kan', 'di', 'fasilitasi', 'layanan', 'ephtb', 'notaris']",-53,negative,"['min', 'posisi', 'sbg', 'notarisppat', 'kode', 'billing', 'mandiri', 'sbg', 'wajib', 'pajak', 'jual', 'beli', 'tanah', 'bangunan', 'coretax', 'fasilitasi', 'layanan', 'ephtb', 'notaris']",min posisi sbg notarisppat kode billing mandiri sbg wajib pajak jual beli tanah bangunan coretax fasilitasi layanan ephtb notaris,Topik 4 - OTP/Verifikasi Email
"OTP terus , giliran tahap akhir gagal , mau pakai pulsa berapa lagi ?
Mau berapa banyak pulsa lg ?",instagram,"otp terus  giliran tahap akhir gagal  mau pakai pulsa berapa lagi 
mau berapa banyak pulsa lg","['otp', 'terus', 'giliran', 'tahap', 'akhir', 'gagal', 'mau', 'pakai', 'pulsa', 'berapa', 'lagi', 'mau', 'berapa', 'banyak', 'pulsa', 'lagi']",-38,negative,"['otp', 'giliran', 'tahap', 'gagal', 'pakai', 'pulsa', 'pulsa']",otp giliran tahap gagal pakai pulsa pulsa,Topik 4 - OTP/Verifikasi Email
"DM gak bisa, email gak dibales, kring pajak gak nyambung. Ini gimana sih? Susyah benerrrr yalorddddd",instagram,dm gak bisa email gak dibales kring pajak gak nyambung ini gimana sih susyah benerrrr yalorddddd,"['dm', 'tidak', 'bisa', 'email', 'tidak', 'dibales', 'kring', 'pajak', 'tidak', 'menyambung', 'ini', 'bagaimana', 'sih', 'susyah', 'benerrrr', 'yalorddddd']",-48,negative,"['gak', 'email', 'gak', 'dibales', 'kring', 'pajak', 'gak', 'nyambung', 'gimana', 'sih', 'susyah', 'benerrrr', 'yalorddddd']",gak email gak dibales kring pajak gak nyambung gimana sih susyah benerrrr yalorddddd,Topik 4 - OTP/Verifikasi Email
MFA itu bukannya lebih rentan ya kode di retas.. pernah mikir gak HP hilang kemudian no hp/email pribadi diretas? trus mau ganti profil nya djpnya bgmna kalo misal WP gak bisa akses tiba2.. captcha sm pin udah cukup terproteksi gak sih? serius saya nanya.. kalian apa gak riset sampe kesana ya?,instagram,mfa itu bukannya lebih rentan ya kode di retas pernah mikir gak hp hilang kemudian no hpemail pribadi diretas trus mau ganti profil nya djpnya bgmna kalo misal wp gak bisa akses tiba captcha sm pin udah cukup terproteksi gak sih serius saya nanya kalian apa gak riset sampe kesana ya,"['mfa', 'itu', 'bukannya', 'lebih', 'rentan', 'ya', 'kode', 'di', 'retas', 'pernah', 'mikir', 'tidak', 'hp', 'hilang', 'kemudian', 'no', 'hpemail', 'pribadi', 'diretas', 'terus', 'mau', 'ganti', 'profil', 'ya', 'djpnya', 'bagaimana', 'kalau', 'misal', 'wp', 'tidak', 'bisa', 'akses', 'tiba-tiba', 'captcha', 'sama', 'pin', 'sudah', 'cukup', 'terproteksi', 'tidak', 'sih', 'serius', 'saya', 'bertanya', 'kalian', 'apa', 'tidak', 'riset', 'sampai', 'kesana', 'ya']",-159,negative,"['mfa', 'rentan', 'kode', 'retas', 'mikir', 'gak', 'hilang', 'hpemail', 'pribadi', 'diretas', 'trus', 'ganti', 'profil', 'nya', 'djpnya', 'bgmna', 'kalo', 'gak', 'akses', 'captcha', 'pin', 'udah', 'terproteksi', 'gak', 'sih', 'serius', 'nanya', 'gak', 'riset', 'sampe', 'kesana']",mfa rentan kode retas mikir gak hilang hpemail pribadi diretas trus ganti profil nya djpnya bgmna kalo gak akses captcha pin udah terproteksi gak sih serius nanya gak riset sampe kesana,Topik 4 - OTP/Verifikasi Email
Balikin tombol lupa email sama nomor hp woy,instagram,balikin tombol lupa email sama nomor hp woy,"['balikin', 'tombol', 'lupa', 'email', 'sama', 'nomor', 'hp', 'woy']",-9,negative,"['balikin', 'tombol', 'lupa', 'email', 'nomor', 'woy']",balikin tombol lupa email nomor woy,Topik 4 - OTP/Verifikasi Email
OTP tolong mau log in ke DJP aja susah banget giliran dikirim udh gak bisa dipake udh lebih dr 2 jam gak nyusahin gak bisa ya??,instagram,otp tolong mau log in ke djp aja susah banget giliran dikirim udh gak bisa dipake udh lebih dr  jam gak nyusahin gak bisa ya,"['otp', 'tolong', 'mau', 'log', 'ini', 'ke', 'djp', 'saja', 'susah', 'banget', 'giliran', 'dikirim', 'sudah', 'tidak', 'bisa', 'dipakai', 'sudah', 'lebih', 'dari', '2', 'jam', 'tidak', 'menyusahkan', 'tidak', 'bisa', 'ya']",-111,negative,"['otp', 'tolong', 'log', 'djp', 'aja', 'susah', 'banget', 'giliran', 'dikirim', 'udh', 'gak', 'dipake', 'udh', 'jam', 'gak', 'nyusahin', 'gak']",otp tolong log djp aja susah banget giliran dikirim udh gak dipake udh jam gak nyusahin gak,Topik 4 - OTP/Verifikasi Email
"Min, kok otp email lama bener dikirim, mau buat akun gak bisa klien udah marah-marah loh",instagram,min kok otp email lama bener dikirim mau buat akun gak bisa klien udah marahmarah loh,"['min', 'kok', 'otp', 'email', 'lama', 'benar', 'dikirim', 'mau', 'buat', 'akun', 'tidak', 'bisa', 'klien', 'sudah', 'marahmarah', 'loh']",-34,negative,"['min', 'otp', 'email', 'bener', 'dikirim', 'akun', 'gak', 'klien', 'udah', 'marahmarah', 'loh']",min otp email bener dikirim akun gak klien udah marahmarah loh,Topik 4 - OTP/Verifikasi Email
Kenapa sie harus pake otp kalau otp nya lama di kirim?.tolong jangan di persulit,instagram,kenapa sie harus pake otp kalau otp nya lama di kirimtolong jangan di persulit,"['kenapa', 'sih', 'harus', 'pakai', 'otp', 'kalau', 'otp', 'ya', 'lama', 'di', 'kirimtolong', 'jangan', 'di', 'persulit']",-58,negative,"['sie', 'pake', 'otp', 'otp', 'nya', 'kirimtolong', 'persulit']",sie pake otp otp nya kirimtolong persulit,Topik 4 - OTP/Verifikasi Email
"kesannya ini terlalu annoying sekali ke atasan, harus minta bolak balik kode verif ke atasan.. Sistem keamanannya terlalu berlebihan menurut saya",instagram,kesannya ini terlalu annoying sekali ke atasan harus minta bolak balik kode verif ke atasan sistem keamanannya terlalu berlebihan menurut saya,"['kesannya', 'ini', 'terlalu', 'annoying', 'sekali', 'ke', 'atasan', 'harus', 'meminta', 'bolak', 'balik', 'kode', 'verif', 'ke', 'atasan', 'sistem', 'keamanannya', 'terlalu', 'berlebihan', 'menurut', 'saya']",-35,negative,"['kesannya', 'annoying', 'atasan', 'bolak', 'kode', 'verif', 'atasan', 'sistem', 'keamanannya']",kesannya annoying atasan bolak kode verif atasan sistem keamanannya,Topik 4 - OTP/Verifikasi Email
"Kok bisa skrg BPN gak ada kode jenis setoran, masa dan tahun pajak ? Tolong dong itu menyusahkan sekali untuk dipilah pilihnyaaa . GAK JELAS Menyusahkan",instagram,kok bisa skrg bpn gak ada kode jenis setoran masa dan tahun pajak  tolong dong itu menyusahkan sekali untuk dipilah pilihnyaaa  gak jelas menyusahkan,"['kok', 'bisa', 'sekarang', 'bpn', 'tidak', 'ada', 'kode', 'jenis', 'setoran', 'masa', 'dan', 'tahun', 'pajak', 'tolong', 'dong', 'itu', 'menyusahkan', 'sekali', 'untuk', 'dipilah', 'pilihnyaaa', 'tidak', 'jelas', 'menyusahkan']",-77,negative,"['skrg', 'bpn', 'gak', 'kode', 'jenis', 'setoran', 'pajak', 'tolong', 'menyusahkan', 'dipilah', 'pilihnyaaa', 'gak', 'menyusahkan']",skrg bpn gak kode jenis setoran pajak tolong menyusahkan dipilah pilihnyaaa gak menyusahkan,Topik 4 - OTP/Verifikasi Email
"Min kalo lupa pasword, lupa email pribadi yang terkait dan tercantum malah minta kode dan Gmail nya lups",instagram,min kalo lupa pasword lupa email pribadi yang terkait dan tercantum malah minta kode dan gmail nya lups,"['min', 'kalau', 'lupa', 'pasword', 'lupa', 'email', 'pribadi', 'yang', 'terkait', 'dan', 'tercantum', 'malah', 'meminta', 'kode', 'dan', 'gmail', 'ya', 'lups']",-38,negative,"['min', 'kalo', 'lupa', 'pasword', 'lupa', 'email', 'pribadi', 'terkait', 'tercantum', 'kode', 'gmail', 'nya', 'lups']",min kalo lupa pasword lupa email pribadi terkait tercantum kode gmail nya lups,Topik 4 - OTP/Verifikasi Email
Klu alamat email sdh tdk bisa buka. Bgmn y pak/bu,instagram,klu alamat email sdh tdk bisa buka bgmn y pakbu,"['kalau', 'alamat', 'email', 'sudah', 'tidak', 'bisa', 'buka', 'bagaimana', 'ya', 'pakbu']",-31,negative,"['klu', 'alamat', 'email', 'sdh', 'tdk', 'buka', 'bgmn', 'pakbu']",klu alamat email sdh tdk buka bgmn pakbu,Topik 4 - OTP/Verifikasi Email
Baru aja dapet WA dari +62 878-7528-4981 katanya dari DJP. Disuruh pembaruan data via email,instagram,baru aja dapet wa dari   katanya dari djp disuruh pembaruan data via email,"['baru', 'saja', 'dapat', 'wa', 'dari', '62', '87875284981', 'katanya', 'dari', 'djp', 'disuruh', 'pembaruan', 'data', 'via', 'email']",-4,negative,"['aja', 'dapet', 'djp', 'disuruh', 'pembaruan', 'data', 'via', 'email']",aja dapet djp disuruh pembaruan data via email,Topik 4 - OTP/Verifikasi Email
Barusan saya di telpon yang mengaku dari kantor pajak namun bukan dari nomor 1500200. Apakah benar min? Saya disuruh pembaruan data via email atau whatsapp.,instagram,barusan saya di telpon yang mengaku dari kantor pajak namun bukan dari nomor  apakah benar min saya disuruh pembaruan data via email atau whatsapp,"['barusan', 'saya', 'di', 'telpon', 'yang', 'mengaku', 'dari', 'kantor', 'pajak', 'namun', 'bukan', 'dari', 'nomor', '1500200', 'apakah', 'benar', 'min', 'saya', 'disuruh', 'pembaruan', 'data', 'via', 'email', 'atau', 'whatsapp']",-39,negative,"['barusan', 'telpon', 'mengaku', 'kantor', 'pajak', 'nomor', 'min', 'disuruh', 'pembaruan', 'data', 'via', 'email', 'whatsapp']",barusan telpon mengaku kantor pajak nomor min disuruh pembaruan data via email whatsapp,Topik 4 - OTP/Verifikasi Email
Kalau email dan nomor HP sudah tidak ada bagaimana?,instagram,kalau email dan nomor hp sudah tidak ada bagaimana,"['kalau', 'email', 'dan', 'nomor', 'hp', 'sudah', 'tidak', 'ada', 'bagaimana']",-13,negative,"['email', 'nomor']",email nomor,Topik 4 - OTP/Verifikasi Email
"semuanyaa pun ga bisa. ga diangkat, email ga dibalas, live terputus terusssssssssss!",instagram,semuanyaa pun ga bisa ga diangkat email ga dibalas live terputus terusssssssssss,"['semuanya', 'pun', 'tidak', 'bisa', 'tidak', 'diangkat', 'email', 'tidak', 'dibalas', 'live', 'terputus', 'terusssssssssss']",-28,negative,"['semuanyaa', 'diangkat', 'email', 'dibalas', 'live', 'terputus', 'terusssssssssss']",semuanyaa diangkat email dibalas live terputus terusssssssssss,Topik 4 - OTP/Verifikasi Email
Kalau email lama sdh tdk aktif gmn min? Masa saya urus di email katanya gbs,instagram,kalau email lama sdh tdk aktif gmn min masa saya urus di email katanya gbs,"['kalau', 'email', 'lama', 'sudah', 'tidak', 'aktif', 'bagaimana', 'min', 'masa', 'saya', 'urus', 'di', 'email', 'katanya', 'tidak bisa']",-30,negative,"['email', 'sdh', 'tdk', 'aktif', 'gmn', 'min', 'urus', 'email', 'gbs']",email sdh tdk aktif gmn min urus email gbs,Topik 4 - OTP/Verifikasi Email
"2 hari pada ngeluh soal otp gak bener2, kerja apa gak woi orang pajak!",instagram,hari pada ngeluh soal otp gak bener kerja apa gak woi orang pajak,"['2', 'hari', 'pada', 'ngeluh', 'soal', 'otp', 'tidak', 'benar-benar', 'kerja', 'apa', 'tidak', 'woi', 'orang', 'pajak']",-43,negative,"['ngeluh', 'otp', 'gak', 'bener', 'kerja', 'gak', 'woi', 'orang', 'pajak']",ngeluh otp gak bener kerja gak woi orang pajak,Topik 4 - OTP/Verifikasi Email
Otp dong cepat perbaiki,instagram,otp dong cepat perbaiki,"['otp', 'dong', 'cepat', 'perbaiki']",-12,negative,"['otp', 'cepat', 'perbaiki']",otp cepat perbaiki,Topik 4 - OTP/Verifikasi Email
Kriteria rumah umum no 1 memiliki kode identitas rumah yg disediakan oleh kementrian pupr itu yg seperti apa ?,instagram,kriteria rumah umum no  memiliki kode identitas rumah yg disediakan oleh kementrian pupr itu yg seperti apa,"['kriteria', 'rumah', 'umum', 'no', '1', 'memiliki', 'kode', 'identitas', 'rumah', 'yang', 'disediakan', 'oleh', 'kementrian', 'pupr', 'itu', 'yang', 'seperti', 'apa']",-12,negative,"['kriteria', 'rumah', 'memiliki', 'kode', 'identitas', 'rumah', 'disediakan', 'kementrian', 'pupr']",kriteria rumah memiliki kode identitas rumah disediakan kementrian pupr,Topik 4 - OTP/Verifikasi Email
Halo min. Tolong buka messages saya. Sya mau mengkonfirmasi terkait email yg saya terima,instagram,halo min tolong buka messages saya sya mau mengkonfirmasi terkait email yg saya terima,"['halo', 'min', 'tolong', 'buka', 'messages', 'saya', 'saya', 'mau', 'mengkonfirmasi', 'terkait', 'email', 'yang', 'saya', 'terima']",-11,negative,"['halo', 'min', 'tolong', 'buka', 'messages', 'sya', 'mengkonfirmasi', 'terkait', 'email', 'terima']",halo min tolong buka messages sya mengkonfirmasi terkait email terima,Topik 4 - OTP/Verifikasi Email
"DJP online, coretax, M-Pajak semuanya udah coba log in, tapi gak bisa. OTP lama. Coba itu yang kerjanya main capca susun ditegur dulu min.",instagram,djp online coretax mpajak semuanya udah coba log in tapi gak bisa otp lama coba itu yang kerjanya main capca susun ditegur dulu min,"['djp', 'online', 'coretax', 'mpajak', 'semuanya', 'sudah', 'coba', 'log', 'ini', 'tapi', 'tidak', 'bisa', 'otp', 'lama', 'coba', 'itu', 'yang', 'kerjanya', 'main', 'capca', 'susun', 'ditegur', 'dulu', 'min']",-63,negative,"['djp', 'online', 'coretax', 'mpajak', 'udah', 'coba', 'log', 'gak', 'otp', 'coba', 'kerjanya', 'main', 'capca', 'susun', 'ditegur', 'min']",djp online coretax mpajak udah coba log gak otp coba kerjanya main capca susun ditegur min,Topik 4 - OTP/Verifikasi Email
"Tolong dibenahin sistem pelayan online di @pajaktangtim di wa , email dan telepon sulit sekali di respon dan sudah dihubungi. @ditjenpajakri",instagram,tolong dibenahin sistem pelayan online di pajaktangtim di wa  email dan telepon sulit sekali di respon dan sudah dihubungi ditjenpajakri,"['tolong', 'dibenahin', 'sistem', 'pelayan', 'online', 'di', 'pajaktangtim', 'di', 'wa', 'email', 'dan', 'telepon', 'sulit', 'sekali', 'di', 'respon', 'dan', 'sudah', 'dihubungi', 'ditjenpajakri']",-43,negative,"['tolong', 'dibenahin', 'sistem', 'pelayan', 'online', 'pajaktangtim', 'email', 'telepon', 'sulit', 'respon', 'dihubungi', 'ditjenpajakri']",tolong dibenahin sistem pelayan online pajaktangtim email telepon sulit respon dihubungi ditjenpajakri,Topik 4 - OTP/Verifikasi Email
Ngadu ke kode etik. Eh nantinya WP jdi di Persulit,instagram,ngadu ke kode etik eh nantinya wp jdi di persulit,"['mengadu', 'ke', 'kode', 'etik', 'eh', 'nantinya', 'wp', 'jadi', 'di', 'persulit']",-23,negative,"['ngadu', 'kode', 'etik', 'jdi', 'persulit']",ngadu kode etik jdi persulit,Topik 4 - OTP/Verifikasi Email
Cape banget djp harus verif email,instagram,cape banget djp harus verif email,"['capek', 'banget', 'djp', 'harus', 'verif', 'email']",-9,negative,"['cape', 'banget', 'djp', 'verif', 'email']",cape banget djp verif email,Topik 4 - OTP/Verifikasi Email
"@ditjenpajakri BERAPA KODE SATUAN ""KARTON"" TOLONG DIJAWAB... DAN UPDATE DATABASE TEMPLATE KALIAN...",instagram,ditjenpajakri berapa kode satuan karton tolong dijawab dan update database template kalian,"['ditjenpajakri', 'berapa', 'kode', 'satuan', 'karton', 'tolong', 'dijawab', 'dan', 'update', 'database', 'template', 'kalian']",-14,negative,"['ditjenpajakri', 'kode', 'satuan', 'karton', 'tolong', 'update', 'database', 'template']",ditjenpajakri kode satuan karton tolong update database template,Topik 4 - OTP/Verifikasi Email
mau bikin kode billing woy bad request bad request!,instagram,mau bikin kode billing woy bad request bad request,"['mau', 'bikin', 'kode', 'billing', 'woy', 'bad', 'request', 'bad', 'request']",-21,negative,"['bikin', 'kode', 'billing', 'woy', 'bad', 'request', 'bad', 'request']",bikin kode billing woy bad request bad request,Topik 4 - OTP/Verifikasi Email
"Miin barusan ada telpon via WA resmi ngg sii, minta kirim duit juga buat kode ferivikasi, mohon penjepasan nya",instagram,miin barusan ada telpon via wa resmi ngg sii minta kirim duit juga buat kode ferivikasi mohon penjepasan nya,"['miin', 'barusan', 'ada', 'telpon', 'via', 'wa', 'resmi', 'tidak', 'sih', 'meminta', 'kirim', 'duit', 'juga', 'buat', 'kode', 'ferivikasi', 'mohon', 'penjepasan', 'ya']",-11,negative,"['miin', 'barusan', 'telpon', 'via', 'resmi', 'ngg', 'sii', 'kirim', 'duit', 'kode', 'ferivikasi', 'mohon', 'penjepasan', 'nya']",miin barusan telpon via resmi ngg sii kirim duit kode ferivikasi mohon penjepasan nya,Topik 4 - OTP/Verifikasi Email
"ampe kapan ni eror trus serfer, pulsa gua uda abis nunggu OTP SAMA VALIDASI doang jirrr",instagram,ampe kapan ni eror trus serfer pulsa gua uda abis nunggu otp sama validasi doang jirrr,"['sampai', 'kapan', 'nih', 'eror', 'terus', 'serfer', 'pulsa', 'gua', 'sudah', 'habis', 'menunggu', 'otp', 'sama', 'validasi', 'doang', 'jirrr']",-53,negative,"['ampe', 'eror', 'trus', 'serfer', 'pulsa', 'gua', 'uda', 'abis', 'nunggu', 'otp', 'validasi', 'doang', 'jirrr']",ampe eror trus serfer pulsa gua uda abis nunggu otp validasi doang jirrr,Topik 4 - OTP/Verifikasi Email
