userName,score,content,at
Riki Najarudin Kamal Wijaya,1,Buset dah...,2024-05-26 06:51:36
Mochamad Said,5,Sgat bantu,2024-05-26 05:36:50
Muhammad Ala'udin Mahmud,1,"ga jelas aplikasinya, data data udah benar gabisa login mau aktivasi butuh EFIN, mau dapetin EFIN disuruh login, gajelas banget ini web sama apknya, anggaran banyak buat apa?????",2024-05-25 15:53:56
Catur wardiman,1,"website buruk,aplikasi buruk 👎",2024-05-25 06:18:06
Alvian Ega,1,Payah,2024-05-25 03:22:27
Rio Arbansyah13,1,"Aplikasi gajelas, semua dibuat ribet dan susah.",2024-05-25 00:27:40
titis prasetyo,5,mantap,2024-05-24 17:28:42
frans reynaldi,1,Aplikasi gak jelas gak respon ketika dibuka,2024-05-24 15:30:04
Fandi Setiawan,1,Payah aplikasi nya gagal terus mau minta kode efin aja,2024-05-24 14:02:45
Hidayat Hidayat,1,"Elek tenan. cuma menghabiskan pulsa,gak masuk-masuk",2024-05-24 11:51:41
Banyu Pinerang,1,Web payah.. kebanyakan d korupsi pasti uang pajaknyaa.. jadi gak pernah ada perbaikan d websitenya.. karena uangnya buat BO Lucunya negeriku.. cuman bisa ngasih kebijakan tanpa solusi sama sekali.. pemerintah itu yg mempersulit dan mempermiskin masyarakatnya sendiri,2024-05-24 08:18:00
Faziel Hammadi,1,"Aplikasi Lolot, orang baru berhasil ndaftar malah keblokir. Blok!!!",2024-05-24 07:56:27
gunawan jaenudin,1,Gila wajib lapor pajak dan bayar pajak aplikasi sekelas pemerintah kok jelek forclose2 gak bisa dibuka buang2 duit bikin aplikasi abal2,2024-05-24 02:57:39
Ganyong GL200R,1,aplikasi insitusi kelas negara tapi peforma aplikasi scam. kerja bagus!!,2024-05-23 13:03:05
Rehan Ssputra,1,"Sangat buruk selalu diulang terus, kesalahan dalam penulisan kelurahan dan kota terus menerus.dari pada pusing goodby",2024-05-23 10:20:27
Eny ainy,1,Ter buruk,2024-05-23 07:46:00
Geez 19,2,Kecewa sih kenapa kalau di buat online tapi harus ke kpp kabupaten juga. Hmm,2024-05-23 01:04:28
Rafassya Abiyyu,5,Ok dl aja,2024-05-22 18:15:37
Frenc Franc. SP,4,Mantap,2024-05-22 15:13:29
Muhammad riswan Nuralam,1,"Codingan eror parah , udah sesuai nik masih aja di bilang salah ,",2024-05-22 11:46:44
Kreator Ndablex,1,"Tolong Aplikasi diperbaiki lagi, ini sudah tahun 2024 semua serba modern harusnya diupgrade lebih baik agar tidak macet dan lag, Aplikasi fungsi seharusnya untuk mempermudah bukan untuk mempersulit",2024-05-22 11:34:45
Dwi Fuzi Rahayu,2,Saya mencoba mendaftar NPWP tapi request otp tidak ada dikirim,2024-05-22 04:15:51
Ahmadi Wijaya,5,Semoga selalu membantu kami,2024-05-21 14:44:14
Go pro,1,Aplikasi payah otp aja ngga di kirim kirim,2024-05-21 12:03:51
M Saryono,5,Ok,2024-05-21 09:05:53
Abdul Rohim,1,Masa ga bisa daftar kocak,2024-05-21 08:33:37
edward 19,1,"Saya lupa password, klik lupa password ga bisa bisa, kaya ga aktif gitu...sampe di hapus instal ulang, tetep ga bisa",2024-05-21 05:56:14
zackharia achyarr16,5,"Gue ulang berkali kali tutorial masih aja eror gak guna emang ini apk dan situsnya pada eror gak niat bantu masyarakat, miris sekali dinegeri wakanda ini ,situs pemerintah pada down tapi situs slot aman2 aja tuh lancar jaya😂",2024-05-21 04:04:32
Gelombang Positif,1,"Orang mau nyari NPWP dan cuma tanya nomer EFIN aja susahnya minta ampun, cuma mau bayar pajak aja di persulit. Ndeso bgt sistemnya sumpah!!! Serba online tp di suruh datang ke KKP, Saya yakin birokrasi di KKP pasti lama bgt. Gitu gaji org pajak tinggi tinggi banget, kek alun koruptor eselon III dirjen pajak bisa beli ini beli itu. Sistem tuh perbaiki, gak cuma gaji aja yang gede",2024-05-21 01:59:12
tnof art,2,gagal login terus,2024-05-20 16:44:31
Yanuri,1,"Saya ini cuma buruh, yang secara tidak langsung di paksa bikin NPWP. Jika prosesnya mudah sih mungkin g masalah.",2024-05-20 13:40:40
Teh Pucuk Harum,5,Aplikasi informatif dan mudah dipahami,2024-05-20 11:49:33
channel 611,1,"Kenapa mau bayar pajak aja di bikin ribet. Kemaren saya beli motor bekas, di STNK nya ada fotocopy pemilik nya. Tpi sang pemilik udah meninggal,jadi di jual dengan istrinya. Lalu saya ke kantor pajak untuk bayar pajak kendaraan, lah dia minta orang nya datang. Udah saya bilang orng nya udah meninggal. Ini ada Poto copy KTP nya. Trus orang pajak nya tak mau proses. Heran betul sama orang pajak, kita ada niat mau bayar malah tak bisa. Ya udah saya biarin aja tak bayar pajak sampai sekarang.",2024-05-20 11:31:15
Dedi Prayitno,1,"Apk gk jelas susah masuk, begitu masuk isi data tiba tiba eror,di ulang begitu terus begitu masuk gagal terus",2024-05-20 10:40:59
Ridho Kurniawan,1,Angel angel,2024-05-20 04:44:55
Ana Kiyudth,1,"Tidak bisa login, padahal semua datanya benar.",2024-05-20 01:01:17
Rusdi 216,1,Pembuat aplikasi nya kurang bagus,2024-05-19 15:59:27
M. Siswaliadi,1,Busuk,2024-05-19 14:52:41
Ahmad Fajar.M,1,"kenapa ya,saat masuk akun di web ereg.pajak.go.id npwp/nik dan pasword bener dan bisa login, sedangkan di apk M-Pajak npwp/pasword salah??",2024-05-19 06:45:37
jombang jatim,2,"Mohon untuk di perbaiki aplikasinya, masak mau minta EFIN selalu gagal padahal data sudah benar",2024-05-18 13:20:07
Hbs 969,1,"Aplkasi b2 minta otp gak muncul, bantuan nye sengaja di erorin",2024-05-18 13:09:21
indah diana,1,Lah baru aja selesai bikin. Masa mau login susah amat data tidak ditemukan. Aplikasi dajjal. Ngabisin duit rakyat loh,2024-05-18 09:01:45
Ilyas Ardi Saputra,1,"Aplikasi ngontol,,,situs nya eror lemot mending situs bokep tolol",2024-05-18 08:35:47
Ristiananda Santuy,5,mantap,2024-05-18 07:37:14
Mas A'ad Seller,1,Nggk guna,2024-05-18 04:46:58
IndiHome Internet WiFi All Area Indonesia,1,aplikasi tidak jelas. sudah isi pulsa untuk daftar verifikasi pendaftaran tapi tidak ada kelanjutannya. gimana ini min?,2024-05-17 10:18:33
Rukadevata,1,Ini aplikasi yg gue instal versi terbaru kan? Tapi kenapa pas dibuka minta update pembaruan jink!?,2024-05-17 07:17:38
ꦫꦺꦤ꧀ꦢꦶ ꦫꦶꦱ꧀ꦮꦤ꧀ꦠꦺꦴ,1,"TIDAK BISA MASUK MAU DI APLIKASI ATAU PUN DI GOOGLE CROME SELALU GAGAL MULU!!,KATANYA DATA GAK ADA,PADAHAL KALU DICEK BISA MUNCUL!!",2024-05-16 19:31:25
Kana Namud,1,Aplikasi yg sulit Login aja susah 👻,2024-05-16 05:21:16
F MZ,1,"Baru juga download & install, Cuma liat muter2 doang kwkwk",2024-05-16 03:10:17
Eko Irwanto,3,versi terbaru mempersulit pengguna untuk lapor perpajakan tlg di kembalikan saja ke versi lama itu lebih mudah karna menu yg di perlukan muncul semua,2024-05-16 03:03:19
arif annasih,1,Sudah membuat kode billing. Namun ketika akna membayar. Kode billing tidak ditemukan.,2024-05-16 02:40:11
Mawan Mawan,1,Belum dipake dah minta update aplikasi tolol pemerintah dongo semua tua bangka tolol,2024-05-16 02:11:57
kek kikek,1,Susah masukkan kode captcha Abis pulsa gua karna refresh hp minta kirim kode validasi,2024-05-15 13:52:54
AKBAR AIDUL POETRA,5,Ini apakah bisa diakomodir jika lupa efin?,2024-05-15 04:16:19
Abdi Beh,1,Mau daftar saja susah 🤦,2024-05-14 18:17:53
White Commander,1,"Aplikasi payah. Website payah. Query validasi data juga payah. Scrum master-nya tolong totalitas dong. Bisa2nya NIK & KK dibilang gak terdaftar. Trus kita bisa bikin NPWP dan terdaftar di Disdukcapil gimana ceritanya? 🤦🏻‍♀️ Udah update, minta update. Ditungguin, malah splash screen dan blank. Cape pengguna dibuatmu. 🤦🏻‍♀️",2024-05-14 14:55:10
Subhan Malik AL-boghory,1,Nyari domisili kurang lengkap masa iya domisili saya tinggal kaga ada apk busuk,2024-05-13 03:06:40
Anak Arab,1,"Customer service payahh, masa iya cuma salah email dan pasword bisa keblokir akun... Di suruh daftar pake email baru lagii. Nanti keblokir lagi karna salah pasword dan email... Teruss gitu sampe 1000 email",2024-05-13 01:37:21
Azni Seke,1,Perentiah 4njing habisian duit negara buat aplikasi kayak t4ik,2024-05-11 09:24:05
Farid Nugraha,1,hapus aja ini aplikasi dari play store,2024-05-11 07:11:09
0ryza,1,Nyusahin,2024-05-11 07:10:47
Modric Kroos,1,Padahal aplikasinya diawasi negara kenapa kualitasnya seperti ini?,2024-05-10 17:03:49
davit martin,1,aplikasi kaga berguna pulsa udah abis 5000 kaga ke daftar² buat apa ada aplikasi ini kalo kaga berguna,2024-05-10 13:28:25
Rizhal Worsnop,1,apinya error ga bisa di buka,2024-05-09 09:33:45
Kusnadi Kusnadi,4,Top..aplikasinya,2024-05-09 08:57:35
Hideyashu Yamari,1,buruk sekali.. eror.. live chat pun gk bsa,2024-05-09 01:15:39
Rahim Timbau,5,Membantu,2024-05-08 11:29:52
Fery Suharjono,5,Sesuai data,2024-05-08 03:14:17
THE HUNTER,1,Percumah kita mau taat pajak aja susah birokrasi ribet aplikasi lemot buat pengurusan gimana negara mau makmur,2024-05-07 07:32:07
Tea Rekt,1,"Otp sangat lama, waktu sudah masuk proses verifikasi gagal. Verif efin sudah berkali-kali dicoba tetap gagal verifikasi. Ujung-ujungnya ke kpp juga ini. Buat apa aplikasi dibuat tapi tidak untuk mempermudah",2024-05-07 04:08:20
Isal Hakim,5,Ok,2024-05-06 17:11:17
Reva Alamsyah,1,verifikasi sms ga bisa apa ga punya pulsa???,2024-05-06 08:06:33
Mahfudin Setiawan,1,"Pagi tadi ke kantor pajak buat ngurus aktivasi akun, setelah selesai nanya ke CS nya soal login aplikasi ini dan CS nya bilang ""kita"" gak ada aplikasi kaya gitu pak, ""kita"" base nya pakai website, jadi mending uninstal aja. Baca2 komenan review juga mayoritas negatif, takut input data2 malah disalahgunakan",2024-05-06 05:12:47
Ahmad Mujtaba,1,Gak guna,2024-05-05 13:29:38
T7 GAMEE,1,aplikasi paling gk berguna,2024-05-05 03:57:40
atim gore,1,sengaja download biar kasi bintang 1,2024-05-04 15:52:05
Reza Fahmi,1,"Aplikasi g guna,, kyk kantornya",2024-05-04 07:55:35
Aster (KIM Sara-Silver),1,"Web nya aja ancur ancuran bikin aplikasi, orang orang Pajak tu ngapain aja si, sampe kena hujat sana sini, benerin dulu web nya, bikin app mah buat pantes pantes doang,dikira jadi keliatan keren apa gimana web sama app nya ga bisa di pake,",2024-05-03 14:06:48
Mas Ugi (uGi),1,"Baru juga download. Mencoba daftar NPWP baru, tetapi tidak ada email yang masuk. Baru langkah awal sudah buruk 👎🏿",2024-05-03 04:09:37
Indra Nugraha,1,"Baru diinstall, langsung nongol pop up apk harus diupdate dan apk gak bisa digunakan",2024-05-02 16:50:02
Nime Art,1,"Fitur yang sangat buruk, tidak di aplikasi atau pun di website semua ny buruk!👎",2024-05-02 15:54:03
Koes Hardjanto,5,Bagus,2024-05-01 10:05:48
inalem channel,1,"Ah, tolol anying",2024-05-01 05:17:48
Joe Rizky,1,APK BUSUK MAU LOGIN AJA RIBET,2024-04-30 10:22:49
Suly,1,Aplikasi gak guna ferifikasi data muter2 gak jelas minta efin pun susah gimana mau taat pajak kalau semua dibuat susah.,2024-04-30 01:39:02
sahrul gunawan,1,Ga becus,2024-04-30 01:08:32
Puji Sopari,1,Gak guna ajg lapor spt ttp lewat web,2024-04-29 07:50:41
Dayat Farezza,1,"Datang ke kantor pajak langsung malah di suruh daftar online, giliran daftar online malah ribet. Terlalu banyak buang waktu",2024-04-29 05:48:44
Rizky Darmawan,1,Servernya lah tolong diurus,2024-04-29 03:18:41
Hi hihe,1,Buat online tp efinnya disuruh dtang langsung sama aja nggk online duh jaman dah online tp pelayanan kek jaman dulu,2024-04-29 02:25:52
Gina Siti Hidayatillah,5,Good,2024-04-28 23:49:13
Fahmi Khusaeri,1,Ga bisa di buka,2024-04-28 22:48:19
gogele 100,5,Sang membantu,2024-04-28 17:26:07
Erwin Syahbana,5,"Perpindahan antar menu saat di klik memerlukan setidaknya 2-3 detik untuk ditampilkan, harusnya aplikasi ini gk lolos ujicoba pas mau launching,melakukan pendaftaran / lainnya kenapa harus pindah ke via website? Terus fungsi aplikasi ini buat apaan? Buat di putar, di jilat, di bakar kantor pajaknya? Itu dana gede kemanain? Bukannya upgrade kualitas manusia, malah di pake beli Rubicon, nyewa LC, nikah lagi sama LC,elu nagih pajak puluhan tahun dan jutaan warga, masa bikin aplikasi model Majapahit",2024-04-28 13:54:19
Reynaldo Kwok,1,Aplikasi tolol,2024-04-28 05:51:30
Purger of Heresy,2,"Aplikasi Negara Dibiayai APBN kok sering Eror/ Bug Malu maluin 😂 Sesuai kualitas Pejabatnya😂 Contoh tu Aplikasi PLN mobile Bagus and User Friendly, lah Ini Urusan Pendapatan Negara secara Global Makro All sectors malah Eror an😒",2024-04-26 13:41:36
Enda Sudarna,5,"Terima kasih sekali sangat membantu ,live chat nya juga cepat aplikasi berjalan lancar. Sebagai perantau yang pertama kali juga lupa efin badan bingung banget karena beda sama lupa efin pribadi dengan live chat sangat terbantu makasih kak satria walaupun aku bingung banget tapi Alhamdulillah muncul emil padahal live chat nya keburu berakhir. Makasih pokonya sehat selalu pegawai dpj 🙏🏻",2024-04-26 07:56:19
09. Alung Fatwa Gotawa,1,Apk macam apa ini! Login di website bisa tapi login di apk gak bisa!!,2024-04-25 13:41:46
MEFI CHANNEL,1,System konyol tidak ada satupun bintang 5 .,2024-04-25 07:09:04
Sundra Murti,5,Mantap,2024-04-25 06:52:34
dede ahyadi,1,developer nya keliatan banget ni aplikasi ..sengaja mempersulit orang yg mw daftar ...stelah isi data mw ke selanjutnya eh tombol nya di umpetin ...PEMERINTAHAN EMANG SELALU BEGITU ..,2024-04-24 17:33:05
Okky Rahmadian,5,Mantap,2024-04-24 06:08:48
Muhtar Riezal,1,Login sering bermasalah. Aplikasi ampas.,2024-04-23 06:08:37
Muhammad Yanuar Haditomo Hadiko,1,"Pengiriman kode otp ketika melakukan pengajuan pupa e-fin sangat lama baik melalui sms maupun e-mail, padahal pengiriman otp melalui sms dikenakan tarif.",2024-04-23 05:03:20
Masbaron Baron,5,Bagus..pelayan cepat dan sangat membantu..memuaskan..good job,2024-04-22 11:44:23
Taufik Firdaus,1,Mau login aja susah wkwk,2024-04-22 09:41:39
Hanafi Nafi,2,"Saya daftar npwp Krn perangkat desa kantor lurah yg nyuruh, Krna d iming2 bantuan pokir dari caleg Jadi saya susah dapat bantuan pkh, Gmna cara nya ini pak/ibu, mohon bantuannya?",2024-04-21 22:38:59
Sam Samsudin,5,Sangat bagus,2024-04-21 18:53:49
Sila Rahma Wati (Hardi.alddie),5,TELKOMSEL ROLI,2024-04-20 04:41:11
ayook Dulinan,1,Aplikasi sulit di pakai mau daftar aja susah...lewat formulir loading lama sekali 1 jam lebih Tolong webnya di perbarui,2024-04-20 04:05:19
nindy artos,1,gak jelas,2024-04-20 02:47:34
Ahmad Ramdany,1,Sering keluar sendiri aplikasi nya jelek bngt,2024-04-19 13:08:53
《C H A O S》 ROYAL,1,Minta bantuan masalah EFIN. Malah langsung kabur CS nya. Niat mau bayar pajak tapi GK dikasih EFIN. Lucu banget,2024-04-19 06:39:24
Ramdhan n,1,Hahaha aplikasi kepala ...... sudah jelas terdaftar giliran login nggak bisa,2024-04-18 06:58:43
Abam Gysa,5,Mbaknya SABAR Banget.. TERIMA KASIH.,2024-04-18 03:49:02
krisna pamungkas,1,kocak ribet amat bikin NPWP jugaa nunggu email kaga muncul muncul,2024-04-17 07:09:07
Abs Aksan,1,bnyk yg ga bs di klik pilihan nya. lemot,2024-04-17 06:44:55
Neoxus GP,1,"""Sayangnya M-Pajak telah berhenti"" melulu..",2024-04-17 02:44:25
Peri Azhari,1,Setau saya blm ada menu pelaporan SPT nya ya mohon tambah kan dong menu nya biar lebih kumplit dan aplikasi nya perbaiki lemot banget,2024-04-16 09:50:50
R com,1,"Kebanyakn nipu rakyat,,.. apl gk guna, keliatan Apl hasil uang korupsi.",2024-04-16 05:50:34
Sidiq Aditama,3,"Aplikasi selalu force close saat ingin mengetahui EFIN, pada saat swa foto. Tolong diperbaiki",2024-04-15 15:55:56
Faqih Octovian,4,"1,a y d, lagi 😁🥲😴",2024-04-15 11:20:15
safrin Safrin,4,Mantap,2024-04-15 10:56:32
Cky Sen,1,"Uangnya banyak, tapi aplikasinya jelek",2024-04-15 10:07:49
Putri amani,1,"Mau daftar efin lewat online tapi ngga bisa.. ga bisa verifikasi otp nyaa.. udh bbrpa hari dicoba ttep ga bisa..pdhl udh d cobain pake email yg sama tapi kode otp ngga muncul, udh dicoba pake no hp juga sama kode otp nya gaada masuk..",2024-04-15 09:34:13
S3A AA,5,kadang lemot,2024-04-13 16:36:34
Ersyad Prayoga L,5,mantap 👍,2024-04-12 22:12:29
Yat No,5,Good,2024-04-12 16:51:01
Biyana andayani,1,Aplikasi tidak bisa di gunakan mau masuk saja sudah tidak bisa Salah terus ketika mau lupa password juga tidak bisa 🥱🥱🥱🥱,2024-04-12 03:47:39
Komang Agus,5,Terbaik,2024-04-11 21:28:52
Yakobus Tulung,5,Tingkatka aplikasinya dan permudakan pendaptaranyany.,2024-04-11 03:06:10
SHAM BANI,4,Bagus,2024-04-11 00:25:19
Muhammad Razzak R,1,TIDAK REKOMENDASI,2024-04-10 13:41:25
Ilyas BNI,5,👍👌,2024-04-10 09:04:50
Firdaus Siregar,1,"ribet,, baru install suruh update dah nunggu 1 jam gx selesai2 updatenya,, mana maksa banget pengupdatetanya , mana gak bisa di kembalikan, bukan mempermudah malah mempersulit,,",2024-04-08 15:46:51
Dewa Ruci,1,"Aplikasi gk jelas,bikin akun cuma muter² aja",2024-04-07 21:27:32
Adam Saputra,1,Ksh rating 1 ajj Pelayanan pemerintah kok gni,2024-04-06 20:12:30
Era Safitri,1,Mau daftar npwp saja susah. Lewat e-reg website gak bisa lewat aplikasi juga gak bisa. Masak kualitas pendaftaran online sekelas dirjen pajak cuman sebatas ecek2. Susah diakses seperti ini. Mengecewakan.,2024-04-05 15:33:22
Hazkim Adi,1,"Tiap mau masuk selalu harus login terus pada sebelum nya sudah login dan gak pernah melakukan log out, ribet jadinya",2024-04-05 03:45:27
Jamhar Zam,1,Saya masih sulit untuk menggunakan aplikasi ini,2024-04-04 13:35:30
Gun Awan,1,Jngn buat malu Indonesia.... Segalanya di persusah... Sudh di ikutin sesuai arahnya namun ad aj hal yg gk bisa...,2024-04-04 05:01:18
M. Yusuf,5,Error,2024-04-04 03:11:29
Aa Opix,1,"Beginilah kalau aplikasi plat merah. Boro2 membantu, masuk aplikasi aja susahnye minta ampun. Pajak ooh pajak, kami tuh mau membayar upeti harusnya bisa dipermudah.",2024-04-02 13:19:46
Ramdan ST,1,"Gaji UMR potongan pajak Internasional, sehat???",2024-04-02 11:42:05
Ardy Wakurkaka,5,Bagus,2024-04-02 08:21:13
Yadi Taurus (Bang Yadi),5,Ok,2024-04-02 05:54:38
Kana kurniawan,5,sangat bermanfaat,2024-04-01 14:06:27
Lucky Prabowo,1,Kartu atas saya koc belum ada juga ya pak/bu Kenapa?,2024-04-01 09:05:56
ferdian nuur,1,Gak jelas,2024-04-01 04:10:18
Iwan hadly Hilmansidiq,5,"Harus sabar, banyak banyak lihat tutorial, alhamdulillah selesai juga pembuatan via online. ""Nikmat Tuhan yg manakah yg kau dustakan""",2024-04-01 03:37:43
biasa seperti0123,1,Gabisa dibuka,2024-04-01 01:37:27
Nursiah Nur,5,tidak lama louding,2024-03-31 17:43:30
Farhan Abdallah,4,Aplikasi sampah,2024-03-31 13:47:25
Nawawi Suharto,5,Sering kembali ke menu asal padahal sudah mengisi data begitu banyak,2024-03-31 07:25:04
Hisense,1,gak bisa d buka,2024-03-31 06:35:14
Amanda Oktaviani Setiawan,1,kentut,2024-03-31 06:11:08
Shi,1,Susah aja,2024-03-31 06:08:30
Ayu Novita,1,"Gak bisa lapor, di klik aplikasinya diem aja",2024-03-31 05:56:46
Ade Nurjaman,1,Sebenarnya tidak layak dikasih bintang. Online seharusnya mempermudah. Aplikasi malah eror terus,2024-03-31 02:54:59
Bizai ni,1,"Pungutan Uang negara sebanyak itu, masa untuk kembangkan aplikasi seperti ini saja tidak bisa, padahal sangat membantu untuk kita lapor dimanapun dan kapanpun",2024-03-30 23:34:45
Theguh mbc,1,Aplikasi pemerintah dengan dana pembuatan yg pakai dana besar tp kualitasnya kok gini amat 😮‍💨,2024-03-30 21:23:43
Ikbar Paotal,1,"Minta kode Verifikasi sampai botak nungguin gak masuk²,, padahal nomor yg didaftarkan masih aktif 👎👎👎",2024-03-30 20:59:21
Leo candra Adhy setiawan,1,"Aplikasi sekelas punya pemerintah tpi mau lapor pajak tdk bisa,, pilihan menu nya tidak jelasss,,e mengherankan",2024-03-30 20:08:18
Abie Aimar Abdillah,1,aplikasi apa ini? sampah 🤣,2024-03-30 14:12:17
singgih prayogi,1,Yang digadang gadang setiap baliho efiling ternyata zonk wkwkwwk,2024-03-30 13:55:13
Argi Mukti (Age Tv),1,Suruh taat pajak tp aplikasi sulit,2024-03-30 13:28:33
syahril surya deksan Syahril,1,"Tolong link ureg.pajak.go.id dibenerin, masa pengen bikin npwp susah bngt,, udh bener tinggl ngisi data doang,, keluar sebentar langsung bikin dari awal lagi,, pulsa gw udh abis goceng bikin itu doang,,, orang pengen bayar pajak ajjh malah dipersulit,,,, kerja yang bener, bukan foya"" sama nyantai"" jangan korupsi terus, uang rakyat buat negara bukan buat diri pribadi, klo fasilitas negara buat rakyatnya kaya gini gimana negara mau maju, yang ada, HANCURRR!!!!!!",2024-03-30 10:17:13
LONELYWOLF OFFICIAL,1,"mau minta efin,pas verifikasi wajah,aplikasi langsung close,jadi nyesel buat npwp.Bukannya d permudah malah ribet banget.",2024-03-30 09:50:53
Yunil Yunil,5,Sangat Membantu aplikasi ini,2024-03-30 08:45:39
a.dika.e.c,1,"Ribet banget, muter² gak jelas petunjuknya Kerjasama sama google aja emailnya Lupa efin, dikirim ke email mailnesia Lupa email disuruh masukin efin Trus gimana cara mengetahui efinnya?",2024-03-30 08:36:24
Ritauli Marpaung,1,Gk berharap byk soal nya lupa efin ngajuin berkali-kali gk masuk Efin nya ke email,2024-03-30 08:23:47
Aliya Jho,5,The best,2024-03-30 07:50:49
M. Asaidillah,1,Gajelas,2024-03-30 06:02:36
Usamah Rofi,1,Aplikasi jelek ribet lagi,2024-03-30 05:43:07
Queen Anya,1,"DEVELOPER GAK JELAS, PASTI MANUT AJA JADI BABU PIMPINAN, APLIKASI AJA GAK KE URUS.",2024-03-30 04:27:30
Sitiastutibanurea Astuti,5,Ok,2024-03-30 04:24:34
Antonio Niguel,1,Kualitas nya msh buruk,2024-03-30 03:53:05
Rezky_cahya_ utama,1,"Emang yah, aplikasi atau situs sekelas instansi besar di negara kita itu ga keurus, selain rentan kena hack, situs atau webnya ga responsif.. dikit dikit relaunch, error.. apaan dah.",2024-03-30 03:39:40
sakura kkura,1,"Ini aplikasi punya pemerintah untuk masyarakat lho..tapi kok sekali dibuka malah keluar lagi. Aplikasi kok ecek ecek gini, parah sumpah",2024-03-30 02:20:18
Pelengkap Cerita,1,"Kenapa setiap selesai upload foto selalunya eror masalah kelurahan padahal nama kelurahan jelas jelas gak ada yang salah sama persis yang di KTP, mau bayar pajak tapi aplikasi model begini 👎👎👎👎, live chat nya aja gak ada solusi",2024-03-30 02:03:09
adi .andson81,1,"Aplikasi SAMPAH KALAU GAK SIAP DIGITAL LEBIH BAIK KONVENSIONAL,BUKANNYA MEMPERMUDAH MALAH BIKIN SENGSARA. LEMOT,ERROR TERUS,COBA LAGI ERROR LAGI,PADAHAL DATA SUDAH FIX BETUL. F""C""",2024-03-30 01:34:06
Muchamad Arif,1,"aplikasi lemot, sudah punya akun tapi susah masuk, minta verifikasi ulang malah gagal mulu, orang mau lapor aja ribet. lebih mudah bikin akun sosmed daripada akun pajak di aplikasi. heran",2024-03-29 15:00:43
Arkan Narendra,1,Apknya kalah sama apk warung masukin kode otp efin saja 6x gagal terus ga jelas gimana coba masa,2024-03-29 13:22:12
Sandi Auzi Yusuf,1,"Mau ngurus lupa efin aja ribet, padahal udah pake foto sendiri. Klo nagih pajak getol buat pelayanan sulit.",2024-03-29 11:25:44
Remaja putra Putra,1,"Aplikasi GK jelas, sudah berulang kali isi data gagal trus",2024-03-29 09:53:07
Ilyas Sakti,5,Ok,2024-03-29 08:04:33
Teguh Putera nardi,1,"Sekelas aplikas pemerintahan loh , cacat banget baru bukanudah eror , maunya nerima uang doang tapi gada kualitas sama sekali",2024-03-29 07:44:00
Muhammad Bagus,5,Mantap,2024-03-29 07:39:46
Rifki Aldi Rifaldi,1,"Susah login terus, sampe2 pernah ke kantor cabangnya ke cs buat minta bantuan udah bisa login waktu itu. Sekarang dicoba beberapa lagi tetep gak bisa login",2024-03-29 07:37:34
Shinta Kurnia,1,jelek banget,2024-03-29 06:52:55
paulus saputra,1,"Mau mgurus pajak aja susah, padahal tinggal terima uang. Efin efin harus ke kantor nian. Dikira kami nganggur apa gimana. Sulitt",2024-03-29 05:15:14
Adi Supriyanto,1,Baru msuk suru updet..mala muter2 terus gmn sih ini...payahhhhhhh,2024-03-29 03:44:06
WANLY KALARU,1,"Apk susah buka Nya , auto uninstall",2024-03-29 03:36:18
istoko 1982,1,"Pajak sudah dibayar tapi masih disuruh laporan,trus apa gunanya bayar pajak",2024-03-29 03:01:35
Ilham Zuhkrino,1,"Aplikasi sampah, susah bener kagak bisa kirim ulang efin buat lapor spt",2024-03-29 02:10:48
Rudhy Romeo Delta,1,Lah cara lapor spt nya gmna kog gk ada menu nya ..,2024-03-29 01:07:57
Budi Gunawan,1,"Ini bikin aplikasi berapa sih dana nya? Perusahaan swasta pinjol aja aplikasi nya bagus2.. INI SEKELAS NEGARA APLIKASI ANCUR GAK KARUAN, MASA KALAH AMA APLIKASI PINJOL, HAHA..",2024-03-28 20:21:59
rizki chandra,1,Baru download langsung kecewa. Apa uang pajak masyarakat belum cukup banyak ya untuk buat aplikasi receh aja jauh dri kata bagus.,2024-03-28 19:52:46
Fiqih Ramadhan,1,"Kecewa aing teh kumaha aplikasi suka eror,padahal tiap bulan juga Bayar pajak dipotong pajak,masa mau report aja susah na minta ampun",2024-03-28 18:24:12
NomNom Channel,1,"Setelah donlod app ini ko dpt wa penipuan an djp online y,",2024-03-28 16:06:28
MUKTI -,1,"Tidak seperti versi web yg komplit, versi mobil ini justru mengecewakan, kurang fitur",2024-03-28 15:22:12
محمد رضون الغفرن,1,"Lebih baik aplikasi BOKEP ketimbang apk resmi tapi konyol banyak masalah dan teknisnya baru belajar udh dipaksain buat apk padahal kemampuannya blum mumpuni, bejar dlu nak PD ahlinya jgn buat negara kita malu, ini sgt memalukan masak apk sekelas negara kalah sama apk bokep",2024-03-28 15:20:25
abdullah syukur,1,Aplikasi cacat blm mendukung disuruh lapor pajak tapi mempersulit dan ribet buat kami yg jauh dari kota,2024-03-28 13:42:53
Randy Wibisana,1,Aplikasi negara emang bobrok udh gak heran lagi,2024-03-28 13:34:02
Lia Tema,1,"Ribet, tidak efisien, Lemot, Mohon dipermudah.",2024-03-28 12:07:05
yaka mora Chanel,1,"Sangat buruk, sulit ,",2024-03-28 09:30:25
Yoga Pratama,1,Salah satu aplikasi tidak berguna dari pemerintah live chat berakhir dengan sendirinya tlpon ke nomer 1500200 juga sama saja,2024-03-28 09:00:24
