content,source,cleaned,t,sentiment_score,sentiment
"Belum mengerti saya dg aplikasi ini, buat apa ya?",playstore,belum mengerti saya dg aplikasi ini buat apa ya,"['belum', 'mengerti', 'saya', 'dengan', 'aplikasi', 'ini', 'buat', 'apa', 'ya']",-52,negative
instal ya lama bgt ya.kenapa ya,playstore,instal ya lama bgt yakenapa ya,"['instal', 'ya', 'lama', 'banget', 'yakenapa', 'ya']",-31,negative
"Saya sdh buat e billing melalui aplikasi ini, setelah klik kode billing kenapa tdk muncul download ringkasannya, kenap?",playstore,saya sdh buat e billing melalui aplikasi ini setelah klik kode billing kenapa tdk muncul download ringkasannya kenap,"['saya', 'sudah', 'buat', 'e', 'billing', 'melalui', 'aplikasi', 'ini', 'setelah', 'klik', 'kode', 'billing', 'kenapa', 'tidak', 'muncul', 'download', 'ringkasannya', 'kenap']",-50,negative
"Saya suport penuh ni aplikasi walau perfomanya masih belum sebaik versi web, Tolong segera di update agar kami bisa segera menikmati layanan mobile ini.",playstore,saya suport penuh ni aplikasi walau perfomanya masih belum sebaik versi web tolong segera di update agar kami bisa segera menikmati layanan mobile ini,"['saya', 'suport', 'penuh', 'nih', 'aplikasi', 'walau', 'perfomanya', 'masih', 'belum', 'sebaik', 'versi', 'web', 'tolong', 'segera', 'di', 'update', 'agar', 'kami', 'bisa', 'segera', 'menikmati', 'layanan', 'mobile', 'ini']",-80,negative
Mantap kali ini😍😍😍,playstore,mantap kali ini,"['mantap', 'kali', 'ini']",-4,negative
"Bagus banget. sudah lama saya memimpikan aplikasi android dr pajak. buat billingnya pun cuma sekali tekan, tdk perlu capca jg. Saran : 1. Kode billing bs didownload dalam bentuk pdf atau gambar. 2. Ada menu transaksi favorit. Agar tdk bingung pembayaran yg sama tiap bulannya(umkm) 3. Ada semacam virtual asistent kayak samsung. Wah pasti banyak yg bakal download. Mungkin si Viska dr e-learning bs tuh. 4. Kode billing yg sdh dibuat bisa dilihat kembali, jd tdk perlu bikin lagi. Tetap semangat....",playstore,bagus banget sudah lama saya memimpikan aplikasi android dr pajak buat billingnya pun cuma sekali tekan tdk perlu capca jg saran   kode billing bs didownload dalam bentuk pdf atau gambar  ada menu transaksi favorit agar tdk bingung pembayaran yg sama tiap bulannyaumkm  ada semacam virtual asistent kayak samsung wah pasti banyak yg bakal download mungkin si viska dr elearning bs tuh  kode billing yg sdh dibuat bisa dilihat kembali jd tdk perlu bikin lagi tetap semangat,"['bagus', 'banget', 'sudah', 'lama', 'saya', 'memimpikan', 'aplikasi', 'android', 'dari', 'pajak', 'buat', 'billingnya', 'pun', 'cuma', 'sekali', 'tekan', 'tidak', 'perlu', 'capca', 'juga', 'saran', '1', 'kode', 'billing', 'bisa', 'didownload', 'dalam', 'bentuk', 'pdf', 'atau', 'gambar', '2', 'ada', 'menu', 'transaksi', 'favorit', 'agar', 'tidak', 'bingung', 'pembayaran', 'yang', 'sama', 'tiap', 'bulannyaumkm', '3', 'ada', 'semacam', 'virtual', 'asistent', 'kayak', 'samsung', 'wah', 'pasti', 'banyak', 'yang', 'bakal', 'download', 'mungkin', 'sih', 'viska', 'dari', 'elearning', 'bisa', 'tuh', '4', 'kode', 'billing', 'yang', 'sudah', 'dibuat', 'bisa', 'dilihat', 'kembali', 'jadi', 'tidak', 'perlu', 'bikin', 'lagi', 'tetap', 'semangat']",-180,negative
"Aplikasi resmi dari DJP, user friendly dan berguna untuk wajib pajak. Memudahkan pembuatan ID Billing untuk penyetoran pajak",playstore,aplikasi resmi dari djp user friendly dan berguna untuk wajib pajak memudahkan pembuatan id billing untuk penyetoran pajak,"['aplikasi', 'resmi', 'dari', 'djp', 'user', 'friendly', 'dan', 'berguna', 'untuk', 'wajib', 'pajak', 'memudahkan', 'pembuatan', 'id', 'billing', 'untuk', 'penyetoran', 'pajak']",-26,negative
Susah login nya.. Padahal npwp saya Dan kata Sandi saya sudah benar... Tolong segera diperbaiki agar dapat mempermudah pengguna...,playstore,susah login nya padahal npwp saya dan kata sandi saya sudah benar tolong segera diperbaiki agar dapat mempermudah pengguna,"['susah', 'login', 'ya', 'padahal', 'npwp', 'saya', 'dan', 'kata', 'sandi', 'saya', 'sudah', 'benar', 'tolong', 'segera', 'diperbaiki', 'agar', 'dapat', 'mempermudah', 'pengguna']",-55,negative
Gak bisa login padahal npwp dan password sudah benar... mau bt E-billing...nanti jika sudah bisa login akan di tambahin lagi * nya...,playstore,gak bisa login padahal npwp dan password sudah benar mau bt ebillingnanti jika sudah bisa login akan di tambahin lagi  nya,"['tidak', 'bisa', 'login', 'padahal', 'npwp', 'dan', 'password', 'sudah', 'benar', 'mau', 'buat', 'ebillingnanti', 'jika', 'sudah', 'bisa', 'login', 'akan', 'di', 'tambahkan', 'lagi', 'ya']",-84,negative
Srmoga kedepan bisa ada fitur lapor SPT dan edit profile..biar lebih mudah...untuk sementara sih cma bisa liat aja..,playstore,srmoga kedepan bisa ada fitur lapor spt dan edit profilebiar lebih mudahuntuk sementara sih cma bisa liat aja,"['srmoga', 'kedepan', 'bisa', 'ada', 'fitur', 'lapor', 'seperti', 'dan', 'edit', 'profilebiar', 'lebih', 'mudahuntuk', 'sementara', 'sih', 'cuma', 'bisa', 'lihat', 'saja']",-28,negative
"Ga bisa bikin billing, pada pilihan isian ga ada pilihan. mohon bantuannya admin.",playstore,ga bisa bikin billing pada pilihan isian ga ada pilihan mohon bantuannya admin,"['tidak', 'bisa', 'bikin', 'billing', 'pada', 'pilihan', 'isian', 'tidak', 'ada', 'pilihan', 'mohon', 'bantuannya', 'admin']",-34,negative
Sering error saat bikin pajak menu JENIS PAJAK dan JENIS SETORAN (Tidak bisa di KLIK),playstore,sering error saat bikin pajak menu jenis pajak dan jenis setoran tidak bisa di klik,"['sering', 'error', 'saat', 'bikin', 'pajak', 'menu', 'jenis', 'pajak', 'dan', 'jenis', 'setoran', 'tidak', 'bisa', 'di', 'klik']",-60,negative
"Terimakasih DJP, Aplikasi ini sangat membantu Wajib Pajak",playstore,terimakasih djp aplikasi ini sangat membantu wajib pajak,"['terimakasih', 'djp', 'aplikasi', 'ini', 'sangat', 'membantu', 'wajib', 'pajak']",-33,negative
Susah masuk,playstore,susah masuk,"['susah', 'masuk']",-12,negative
Susah x buat log-in udah beberapa x di coba,playstore,susah x buat login udah beberapa x di coba,"['susah', 'kali', 'buat', 'login', 'sudah', 'beberapa', 'kali', 'di', 'coba']",-27,negative
Mudah digunakan,playstore,mudah digunakan,"['mudah', 'digunakan']",-1,negative
Biar seneng dan lancar,playstore,biar seneng dan lancar,"['biar', 'senang', 'dan', 'lancar']",-9,negative
kenapa ngak bisa di isi kolom jenis pajaknya..??,playstore,kenapa ngak bisa di isi kolom jenis pajaknya,"['kenapa', 'tidak', 'bisa', 'di', 'isi', 'kolom', 'jenis', 'pajaknya']",-41,negative
apakah pendaftaran NPWP bisa lewat online !,playstore,apakah pendaftaran npwp bisa lewat online,"['apakah', 'pendaftaran', 'npwp', 'bisa', 'lewat', 'online']",-20,negative
Mau bikin biling pilihan pajak sama pilihan setoran tidak mau muncul tolong diperbaiki,playstore,mau bikin biling pilihan pajak sama pilihan setoran tidak mau muncul tolong diperbaiki,"['mau', 'bikin', 'biling', 'pilihan', 'pajak', 'sama', 'pilihan', 'setoran', 'tidak', 'mau', 'muncul', 'tolong', 'diperbaiki']",-24,negative
Mau login kok pasword salah terusya Padahal udah sesuai,playstore,mau login kok pasword salah terusya padahal udah sesuai,"['mau', 'login', 'kok', 'pasword', 'salah', 'terusya', 'padahal', 'sudah', 'sesuai']",-20,negative
"Kalo memungkinkan, ada menu antri utk konsultasi langsung di kpp, pengganti aplikasi kunjung pajak, terima kasih",playstore,kalo memungkinkan ada menu antri utk konsultasi langsung di kpp pengganti aplikasi kunjung pajak terima kasih,"['kalau', 'memungkinkan', 'ada', 'menu', 'antri', 'untuk', 'konsultasi', 'langsung', 'di', 'kpp', 'pengganti', 'aplikasi', 'kunjung', 'pajak', 'terima', 'kasih']",-30,negative
"Semoga ke depannya ada fitur lapor SPT 1770 sehingga baik karyawan/ pengusaha bisa lapor lewat handphone masing-masing. Terkoneksi dengan layanan uang digital sehingga billing terbentuk bisa langsung dibayar tanpa perlu pindah ke platform aplikasi lain. Agar slogan ""pajak dalam genggaman"" jadi nyata. Amiin.",playstore,semoga ke depannya ada fitur lapor spt  sehingga baik karyawan pengusaha bisa lapor lewat handphone masingmasing terkoneksi dengan layanan uang digital sehingga billing terbentuk bisa langsung dibayar tanpa perlu pindah ke platform aplikasi lain agar slogan pajak dalam genggaman jadi nyata amiin,"['semoga', 'ke', 'depannya', 'ada', 'fitur', 'lapor', 'seperti', '1770', 'sehingga', 'baik', 'karyawan', 'pengusaha', 'bisa', 'lapor', 'lewat', 'handphone', 'masingmasing', 'terkoneksi', 'dengan', 'layanan', 'uang', 'digital', 'sehingga', 'billing', 'terbentuk', 'bisa', 'langsung', 'dibayar', 'tanpa', 'perlu', 'pindah', 'ke', 'platform', 'aplikasi', 'lain', 'agar', 'slogan', 'pajak', 'dalam', 'genggaman', 'jadi', 'nyata', 'amin']",-43,negative
Sangat membantu wajib pajak. Keren👍👍,playstore,sangat membantu wajib pajak keren,"['sangat', 'membantu', 'wajib', 'pajak', 'keren']",-11,negative
"Lumayan canggih aplikasinya, cuma belum bisa bayar sekalian di aplikasi! Terbantu karena sekarang tidak menggunakan aplikasi chrome!",playstore,lumayan canggih aplikasinya cuma belum bisa bayar sekalian di aplikasi terbantu karena sekarang tidak menggunakan aplikasi chrome,"['lumayan', 'canggih', 'aplikasinya', 'cuma', 'belum', 'bisa', 'bayar', 'sekalian', 'di', 'aplikasi', 'terbantu', 'karena', 'sekarang', 'tidak', 'menggunakan', 'aplikasi', 'chrome']",-74,negative
ketika klik profil aplikasi langsung tertutup dan keluar,playstore,ketika klik profil aplikasi langsung tertutup dan keluar,"['ketika', 'klik', 'profil', 'aplikasi', 'langsung', 'tertutup', 'dan', 'keluar']",-14,negative
"tampilannya bagus banget, moga kedepannya makin banyak fitur yg bisa diakses, seperti lapor SPT, pemberitahuan Norma, PP 23 dll semangat terus dalam berkarya DJP",playstore,tampilannya bagus banget moga kedepannya makin banyak fitur yg bisa diakses seperti lapor spt pemberitahuan norma pp  dll semangat terus dalam berkarya djp,"['tampilannya', 'bagus', 'banget', 'moga', 'kedepannya', 'makin', 'banyak', 'fitur', 'yang', 'bisa', 'diakses', 'seperti', 'lapor', 'seperti', 'pemberitahuan', 'norma', 'pp', '23', 'dll', 'semangat', 'terus', 'dalam', 'berkarya', 'djp']",-51,negative
Mantap..semoga konsisten dan lebih baik lagi.,playstore,mantapsemoga konsisten dan lebih baik lagi,"['mantapsemoga', 'konsisten', 'dan', 'lebih', 'baik', 'lagi']",-3,negative
Aplikasi yg menarik. Mg kedepan dapat konsisten di update.,playstore,aplikasi yg menarik mg kedepan dapat konsisten di update,"['aplikasi', 'yang', 'menarik', 'moga', 'kedepan', 'dapat', 'konsisten', 'di', 'update']",-37,negative
Semoga mempermudah dalam melaksanakan kewajiban perpajakan,playstore,semoga mempermudah dalam melaksanakan kewajiban perpajakan,"['semoga', 'mempermudah', 'dalam', 'melaksanakan', 'kewajiban', 'perpajakan']",-3,negative
"Mantappp, terus kembangkan",playstore,mantappp terus kembangkan,"['mantap', 'terus', 'kembangkan']",-4,negative
top. semoga kedepan utk wp usahawan bisa muncul notif tiap bulan utk diingatkan bayar pph,playstore,top semoga kedepan utk wp usahawan bisa muncul notif tiap bulan utk diingatkan bayar pph,"['top', 'semoga', 'kedepan', 'untuk', 'wp', 'usahawan', 'bisa', 'muncul', 'notif', 'tiap', 'bulan', 'untuk', 'diingatkan', 'bayar', 'pph']",-7,negative
Masih blm bagus,playstore,masih blm bagus,"['masih', 'belum', 'bagus']",-22,negative
"Tolong dibuat multiple npwp untuk badan, bisa cek status laporan pajak dan download BPE",playstore,tolong dibuat multiple npwp untuk badan bisa cek status laporan pajak dan download bpe,"['tolong', 'dibuat', 'multiple', 'npwp', 'untuk', 'badan', 'bisa', 'cek', 'status', 'laporan', 'pajak', 'dan', 'download', 'bpe']",-41,negative
mencari lokasi kpp terdekat datanya banyak salah.,playstore,mencari lokasi kpp terdekat datanya banyak salah,"['mencari', 'lokasi', 'kpp', 'terdekat', 'datanya', 'banyak', 'salah']",-15,negative
Lebih memudahkan kami untuk membayar pajak,playstore,lebih memudahkan kami untuk membayar pajak,"['lebih', 'memudahkan', 'kami', 'untuk', 'membayar', 'pajak']",-12,negative
Semoga kedepannya fitur yang disediakan semakin banyak,playstore,semoga kedepannya fitur yang disediakan semakin banyak,"['semoga', 'kedepannya', 'fitur', 'yang', 'disediakan', 'semakin', 'banyak']",-21,negative
Aplikasinya luar biasa,playstore,aplikasinya luar biasa,"['aplikasinya', 'luar', 'biasa']",-4,negative
"Mungkin jika sdh jadi bagus, bisa gantikan djponline..Kalo skrg, verifikasi email saja tidak datang2 kodenya..",playstore,mungkin jika sdh jadi bagus bisa gantikan djponlinekalo skrg verifikasi email saja tidak datang kodenya,"['mungkin', 'jika', 'sudah', 'jadi', 'bagus', 'bisa', 'gantikan', 'djponlinekalo', 'sekarang', 'verifikasi', 'email', 'saja', 'tidak', 'datang2', 'kodenya']",-28,negative
Mudah bgt sekarang,playstore,mudah bgt sekarang,"['mudah', 'banget', 'sekarang']",-10,negative
"Mantab, ini yg resmi ya ?",playstore,mantab ini yg resmi ya,"['mantab', 'ini', 'yang', 'resmi', 'ya']",-12,negative
Buat billing jadi lebih mudah 😍 semoga fitur fitur lainnya segera muncul juga di aplikasi ini 🤙,playstore,buat billing jadi lebih mudah  semoga fitur fitur lainnya segera muncul juga di aplikasi ini,"['buat', 'billing', 'jadi', 'lebih', 'mudah', 'semoga', 'fitur', 'fitur', 'lainnya', 'segera', 'muncul', 'juga', 'di', 'aplikasi', 'ini']",-43,negative
Cakepp,playstore,cakepp,['cakep'],-1,negative
Menyala Bossque,instagram,menyala bossque,"['menyala', 'bossque']",-2,negative
"ngobrol2 sm pegawai pajak usia 29 th di komunitas ioniq, punya mobil 3, rumah di jaksel, motor harley sm ducati",instagram,ngobrol sm pegawai pajak usia  th di komunitas ioniq punya mobil  rumah di jaksel motor harley sm ducati,"['ngobrol2', 'sama', 'pegawai', 'pajak', 'usia', '29', 'tahu', 'di', 'komunitas', 'ioniq', 'punya', 'mobil', '3', 'rumah', 'di', 'jaksel', 'motor', 'harley', 'sama', 'ducati']",-42,negative
Klo udah pensiun sejak Maret 2023 apakah msh harus laporan pajak ?,instagram,klo udah pensiun sejak maret  apakah msh harus laporan pajak,"['kalau', 'sudah', 'pensiun', 'sejak', 'maret', '2023', 'apakah', 'masih', 'harus', 'laporan', 'pajak']",-41,negative
"Segera laporkan realisasi PPS paling lambat besok!! #KawanPajak peserta Program Pengungkapan Sukarela (PPS), selain melaporkan SPT tahunan, juga wajib melaporkan realisasi PPS, paling lambat 31 Maret 2024",instagram,segera laporkan realisasi pps paling lambat besok kawanpajak peserta program pengungkapan sukarela pps selain melaporkan spt tahunan juga wajib melaporkan realisasi pps paling lambat  maret,"['segera', 'laporkan', 'realisasi', 'pps', 'paling', 'lambat', 'besok', 'kawanpajak', 'peserta', 'program', 'pengungkapan', 'sukarela', 'pps', 'selain', 'melaporkan', 'seperti', 'tahunan', 'juga', 'wajib', 'melaporkan', 'realisasi', 'pps', 'paling', 'lambat', '31', 'maret', '2024']",-24,negative
"e-reporting pps ga muncul, itu gimana min?",instagram,ereporting pps ga muncul itu gimana min,"['ereporting', 'pps', 'tidak', 'muncul', 'itu', 'bagaimana', 'min']",-14,negative
Apakah wajib dilapor setiap tahun?,instagram,apakah wajib dilapor setiap tahun,"['apakah', 'wajib', 'dilapor', 'setiap', 'tahun']",-2,negative
Gak ikhlas pajak THRnya .,instagram,gak ikhlas pajak thrnya,"['tidak', 'ikhlas', 'pajak', 'thrnya']",-14,negative
GUA GA IKHLAS DUIT GUE DIRAMPOK NEGARA,instagram,gua ga ikhlas duit gue dirampok negara,"['gua', 'tidak', 'ikhlas', 'duit', 'gue', 'dirampok', 'negara']",-8,negative
@dickyiq @rosdianapopy @tegar_eot @dennyzeelho gess gimana rasanya patungan buat bayar thr dan bonus pejabat pajak,instagram,dickyiq rosdianapopy tegareot dennyzeelho gess gimana rasanya patungan buat bayar thr dan bonus pejabat pajak,"['dickyiq', 'rosdianapopy', 'tegareot', 'dennyzeelho', 'gess', 'bagaimana', 'rasanya', 'patungan', 'buat', 'bayar', 'thr', 'dan', 'bonus', 'pejabat', 'pajak']",-17,negative
Kenapa giliran rakyat comment Admin @ditjenpajakri DIEM ??? SPEAK UP DONG !!!,instagram,kenapa giliran rakyat comment admin ditjenpajakri diem  speak up dong,"['kenapa', 'giliran', 'rakyat', 'comment', 'admin', 'ditjenpajakri', 'diam', 'speak', 'up', 'dong']",-9,negative
Woyyyyyy gede banget pajakkkk gue yg dinpotong masih pake beat streat .. lu pake mobil sialaunn,instagram,woyyyyyy gede banget pajakkkk gue yg dinpotong masih pake beat streat  lu pake mobil sialaunn,"['woyyyyyy', 'gede', 'banget', 'pajakkkk', 'gue', 'yang', 'dinpotong', 'masih', 'pakai', 'beat', 'streat', 'kamu', 'pakai', 'mobil', 'sialaunn']",-24,negative
Benar gak sih pajak bisa bikin Indonesia maju dan makmur ???????????????,instagram,benar gak sih pajak bisa bikin indonesia maju dan makmur,"['benar', 'tidak', 'sih', 'pajak', 'bisa', 'bikin', 'indonesia', 'maju', 'dan', 'makmur']",-41,negative
selamat2 ...keren semua dah...,instagram,selamat keren semua dah,"['selamat2', 'keren', 'semua', 'sudah']",-3,negative
"Seperti biasa, taunya pas pengumuman doang huhuhu",instagram,seperti biasa taunya pas pengumuman doang huhuhu,"['seperti', 'biasa', 'taunya', 'pas', 'pengumuman', 'doang', 'huhuhu']",-8,negative
Terima kasih atas adanya kompetisi ini,instagram,terima kasih atas adanya kompetisi ini,"['terima', 'kasih', 'atas', 'adanya', 'kompetisi', 'ini']",-12,negative
untuk yg lomba cipta game kapan min,instagram,untuk yg lomba cipta game kapan min,"['untuk', 'yang', 'lomba', 'cipta', 'game', 'kapan', 'min']",-3,negative
pengumuman lomba yang lain kapan?,instagram,pengumuman lomba yang lain kapan,"['pengumuman', 'lomba', 'yang', 'lain', 'kapan']",-12,negative
@ayuprawitasari mbk ayu selamat yah..,instagram,ayuprawitasari mbk ayu selamat yah,"['ayuprawitasari', 'mbak', 'ayu', 'selamat', 'ya']",-4,negative
Untuk peserta apakah dapat sertifikat?,instagram,untuk peserta apakah dapat sertifikat,"['untuk', 'peserta', 'apakah', 'dapat', 'sertifikat']",-5,negative
yaah ga lolos:),instagram,yaah ga lolos,"['ya', 'tidak', 'lolos']",-22,negative
Min knpa mau lapor dan bayar PPN Masa masi blm bisa smpe skng eror melulu perasaan katanya dicoba berkala udh siang sore malam dicoba eror trus jawabannya,instagram,min knpa mau lapor dan bayar ppn masa masi blm bisa smpe skng eror melulu perasaan katanya dicoba berkala udh siang sore malam dicoba eror trus jawabannya,"['min', 'kenapa', 'mau', 'lapor', 'dan', 'bayar', 'ppn', 'masa', 'masih', 'belum', 'bisa', 'sampai', 'skng', 'eror', 'melulu', 'perasaan', 'katanya', 'dicoba', 'berkala', 'sudah', 'siang', 'sore', 'malam', 'dicoba', 'eror', 'terus', 'jawabannya']",-72,negative
"Bisa ga mau lapor ga dipersulit gini, yaAllah capek bgt jdi warga konoha, mau ngurus pajak aja dipersulit terus",instagram,bisa ga mau lapor ga dipersulit gini yaallah capek bgt jdi warga konoha mau ngurus pajak aja dipersulit terus,"['bisa', 'tidak', 'mau', 'lapor', 'tidak', 'dipersulit', 'begini', 'yaallah', 'capek', 'banget', 'jadi', 'warga', 'konoha', 'mau', 'mengurus', 'pajak', 'saja', 'dipersulit', 'terus']",-83,negative
Kok gabisa login ya dari pagii?,instagram,kok gabisa login ya dari pagii,"['kok', 'tidak bisa', 'login', 'ya', 'dari', 'pagii']",-30,negative
"Min..., Coretax hari ini gak bisa dibuka  sy mau buat spy masa Januari, gak bisa..., ntr kl telat lapor kena denda...",instagram,min coretax hari ini gak bisa dibuka  sy mau buat spy masa januari gak bisa ntr kl telat lapor kena denda,"['min', 'coretax', 'hari', 'ini', 'tidak', 'bisa', 'dibuka', 'saya', 'mau', 'buat', 'supaya', 'masa', 'januari', 'tidak', 'bisa', 'entar', 'kalau', 'telat', 'lapor', 'kena', 'denda']",-57,negative
"Mohon maaf atas kendala yang terjadi pada proses pelaporan SPT masa PPN.

 Sampai saat ini masih dilakukan perbaikan oleh pengembang agar seluruh data PK maupun PM dapat terprepop/terprefill secara penuh baik di induk maupun di lampiran²nya.

 Perbaikan juga meliputi retur dengan kendala pembulatan, angka yang tidak sama, error xxx has been altered, retur hilang dari grid setelah upload, dll.

‼perbaikan² tersebut menjadi prioritas pertama saat ini.

Mohon informasi, WP PMSE tidak bisa simpan dan klik tombol lapor dan bayar dari hari Jumat malam, apakah ada hubungan dengan dampak perbaikan menu pelaporan PPN DN diatas @+62 813-1009-6285?",instagram,"mohon maaf atas kendala yang terjadi pada proses pelaporan spt masa ppn

 sampai saat ini masih dilakukan perbaikan oleh pengembang agar seluruh data pk maupun pm dapat terprepopterprefill secara penuh baik di induk maupun di lampirannya

 perbaikan juga meliputi retur dengan kendala pembulatan angka yang tidak sama error xxx has been altered retur hilang dari grid setelah upload dll

perbaikan tersebut menjadi prioritas pertama saat ini

mohon informasi wp pmse tidak bisa simpan dan klik tombol lapor dan bayar dari hari jumat malam apakah ada hubungan dengan dampak perbaikan menu pelaporan ppn dn diatas","['mohon', 'maaf', 'atas', 'kendala', 'yang', 'terjadi', 'pada', 'proses', 'pelaporan', 'seperti', 'masa', 'ppn', 'sampai', 'saat', 'ini', 'masih', 'dilakukan', 'perbaikan', 'oleh', 'pengembang', 'agar', 'seluruh', 'data', 'pakai', 'maupun', 'pm', 'dapat', 'terprepopterprefill', 'secara', 'penuh', 'baik', 'di', 'induk', 'maupun', 'di', 'lampirannya', 'perbaikan', 'juga', 'meliputi', 'retur', 'dengan', 'kendala', 'pembulatan', 'angka', 'yang', 'tidak', 'sama', 'error', 'xxx', 'has', 'been', 'altered', 'retur', 'hilang', 'dari', 'grid', 'setelah', 'upload', 'dll', 'perbaikan', 'tersebut', 'menjadi', 'prioritas', 'pertama', 'saat', 'ini', 'mohon', 'informasi', 'wp', 'pmse', 'tidak', 'bisa', 'simpan', 'dan', 'klik', 'tombol', 'lapor', 'dan', 'bayar', 'dari', 'hari', 'jumat', 'malam', 'apakah', 'ada', 'hubungan', 'dengan', 'dampak', 'perbaikan', 'menu', 'pelaporan', 'ppn', 'dan', 'diatas', '62', '81310096285']",-139,negative
Mau ngasih duit aja susahhh. Menyala negrikuu,instagram,mau ngasih duit aja susahhh menyala negrikuu,"['mau', 'mengasih', 'duit', 'saja', 'susahhh', 'menyala', 'negrikuu']",-6,negative
Disini ada nggk yg diomelin owner/direktur/atasan. Gara gara coretax ini??,instagram,disini ada nggk yg diomelin ownerdirekturatasan gara gara coretax ini,"['disini', 'ada', 'tidak', 'yang', 'diomelin', 'ownerdirekturatasan', 'gara', 'gara', 'coretax', 'ini']",-34,negative
"ini kenapa tiba tiba faktur pajak untuk kawasan ekonomi khusus,yg udah di input kode barang, di saved konsep, terus pas di cek lagi kok tiba tiba berubah jadi kode service, nama item hilang tuh gimana??",instagram,ini kenapa tiba tiba faktur pajak untuk kawasan ekonomi khususyg udah di input kode barang di saved konsep terus pas di cek lagi kok tiba tiba berubah jadi kode service nama item hilang tuh gimana,"['ini', 'kenapa', 'tiba', 'tiba', 'faktur', 'pajak', 'untuk', 'kawasan', 'ekonomi', 'khususyg', 'sudah', 'di', 'input', 'kode', 'barang', 'di', 'saved', 'konsep', 'terus', 'pas', 'di', 'cek', 'lagi', 'kok', 'tiba', 'tiba', 'berubah', 'jadi', 'kode', 'service', 'nama', 'item', 'hilang', 'tuh', 'bagaimana']",-101,negative
Siapa yg udah sukses bayar dan lapor PPN? Coba sharing dong caranya gimana dari pagi siang sore malem dan dini hari pun masih gak bisa juga error terus,instagram,siapa yg udah sukses bayar dan lapor ppn coba sharing dong caranya gimana dari pagi siang sore malem dan dini hari pun masih gak bisa juga error terus,"['siapa', 'yang', 'sudah', 'sukses', 'bayar', 'dan', 'lapor', 'ppn', 'coba', 'sharing', 'dong', 'caranya', 'bagaimana', 'dari', 'pagi', 'siang', 'sore', 'malam', 'dan', 'dini', 'hari', 'pun', 'masih', 'tidak', 'bisa', 'juga', 'error', 'terus']",-45,negative
"Gak tau malu yah udah mah di gaji
dari hasil rakyat ditelpon gk bisa, di
dm gk bisa, di email gk di jawab,
dikomen gk di jawab, tapi bisa bikin
postingan baru. Mantap",instagram,"gak tau malu yah udah mah di gaji
dari hasil rakyat ditelpon gk bisa di
dm gk bisa di email gk di jawab
dikomen gk di jawab tapi bisa bikin
postingan baru mantap","['tidak', 'tau', 'malu', 'ya', 'sudah', 'mah', 'di', 'gaji', 'dari', 'hasil', 'rakyat', 'ditelpon', 'tidak', 'bisa', 'di', 'dm', 'tidak', 'bisa', 'di', 'email', 'tidak', 'di', 'jawab', 'dikomen', 'tidak', 'di', 'jawab', 'tapi', 'bisa', 'bikin', 'postingan', 'baru', 'mantap']",-157,negative
"Demi Alloh akan kuadukan pada Alloh. Hasil kerja kerasku, keringatku, waktuku, kesehatanku. Matian melayani. Uang terkumpul. Kalian ambil pajak besar. Aku bukan pengusaha. Aku kerja pagi sampai malam pakai badan. Aku akan adukan pada Alloh. Apalagi sekarang berita berita tidak amanahnya pemerintah dan para pejabat negara. Demi Alloh akan kuadukan sama Alloh sakit dan kecewaku.",instagram,demi alloh akan kuadukan pada alloh hasil kerja kerasku keringatku waktuku kesehatanku matian melayani uang terkumpul kalian ambil pajak besar aku bukan pengusaha aku kerja pagi sampai malam pakai badan aku akan adukan pada alloh apalagi sekarang berita berita tidak amanahnya pemerintah dan para pejabat negara demi alloh akan kuadukan sama alloh sakit dan kecewaku,"['demi', 'allah', 'akan', 'kuadukan', 'pada', 'allah', 'hasil', 'kerja', 'kerasku', 'keringatku', 'waktuku', 'kesehatanku', 'matian', 'melayani', 'uang', 'terkumpul', 'kalian', 'ambil', 'pajak', 'besar', 'aku', 'bukan', 'pengusaha', 'aku', 'kerja', 'pagi', 'sampai', 'malam', 'pakai', 'badan', 'aku', 'akan', 'adukan', 'pada', 'allah', 'apalagi', 'sekarang', 'berita', 'berita', 'tidak', 'amanahnya', 'pemerintah', 'dan', 'para', 'pejabat', 'negara', 'demi', 'allah', 'akan', 'kuadukan', 'sama', 'allah', 'sakit', 'dan', 'kecewaku']",-44,negative
oopsss benerin duluuu bagian efakturnya  mau buat retur tapi gabisa. jangan buat sy lembur karna nota retur,instagram,oopsss benerin duluuu bagian efakturnya  mau buat retur tapi gabisa jangan buat sy lembur karna nota retur,"['oopsss', 'benerin', 'dulu', 'bagian', 'efakturnya', 'mau', 'buat', 'retur', 'tapi', 'tidak bisa', 'jangan', 'buat', 'saya', 'lembur', 'karena', 'nota', 'retur']",-30,negative
Upload faktur 1 menit lancar 1 jam loading,instagram,upload faktur  menit lancar  jam loading,"['upload', 'faktur', '1', 'menit', 'lancar', '1', 'jam', 'loading']",-2,negative
